r1084205.fit  5.83  1.92 0.040    90.4 from   4 sources of WOLF1346 U
r1084206.fit  4.97  1.64 0.048    62.0 from  32 sources of WOLF1346 g
r1084207.fit  5.09  1.68 0.087   155.6 from 209 sources of uvex_0326o r
r1084208.fit  5.97  1.97 0.044    89.7 from  15 sources of uvex_0326o U
r1084209.fit  5.08  1.68 0.068   103.2 from  99 sources of uvex_0326o g
r1084210.fit  4.61  1.52 0.072   148.4 from 346 sources of uvex_0327 r
r1084211.fit  5.27  1.74 0.064    88.8 from  39 sources of uvex_0327 U
r1084212.fit  4.67  1.54 0.059   103.4 from 180 sources of uvex_0327 g
r1084213.fit  4.43  1.46 0.080   125.0 from 373 sources of uvex_0327o r
r1084214.fit  5.14  1.70 0.045    91.2 from  40 sources of uvex_0327o U
r1084215.fit  4.66  1.54 0.044   104.1 from 182 sources of uvex_0327o g
r1084216.fit  4.49  1.48 0.054   152.7 from 395 sources of uvex_0332 r
r1084217.fit  5.51  1.82 0.060    91.6 from  50 sources of uvex_0332 U
r1084218.fit  4.69  1.55 0.077   103.3 from 215 sources of uvex_0332 g
r1084219.fit  4.37  1.44 0.080   143.5 from 492 sources of uvex_0342 r
r1084220.fit  5.04  1.66 0.055    92.6 from  57 sources of uvex_0342 U
r1084221.fit  4.88  1.61 0.038   105.1 from 256 sources of uvex_0342 g
r1084222.fit  4.46  1.47 0.074   153.8 from 434 sources of uvex_0346 r
r1084223.fit  5.37  1.77 0.046    91.8 from  55 sources of uvex_0346 U
r1084224.fit  4.27  1.41 0.055   103.2 from 287 sources of uvex_0346 g
r1084225.fit  4.10  1.35 0.060   146.8 from 642 sources of uvex_0361 r
r1084226.fit  5.07  1.67 0.053    93.3 from  66 sources of uvex_0361 U
r1084227.fit  4.30  1.42 0.075   108.3 from 357 sources of uvex_0361 g
r1084228.fit  4.90  1.62 0.099   153.1 from 451 sources of uvex_0361o r
r1084229.fit  5.19  1.71 0.056    90.3 from  64 sources of uvex_0361o U
r1084230.fit  4.30  1.42 0.064   104.8 from 337 sources of uvex_0361o g
r1084231.fit  4.51  1.49 0.051   139.8 from 159 sources of uvex_0365 r
r1084232.fit  5.39  1.78 0.040    90.4 from  18 sources of uvex_0365 U
r1084233.fit  4.31  1.42 0.054   101.1 from  76 sources of uvex_0365 g
r1084234.fit  4.73  1.56 0.074   146.8 from 161 sources of uvex_0365o r
r1084235.fit  5.15  1.70 0.047    89.9 from  15 sources of uvex_0365o U
r1084236.fit  4.75  1.57 0.086   102.2 from  78 sources of uvex_0365o g
r1084237.fit  4.45  1.47 0.067   154.6 from 406 sources of uvex_0366 r
r1084238.fit  5.34  1.76 0.040    91.7 from  52 sources of uvex_0366 U
r1084239.fit  4.50  1.49 0.076   107.2 from 261 sources of uvex_0366 g
r1084240.fit  4.94  1.63 0.088   138.5 from 353 sources of uvex_0366o r
r1084241.fit  5.15  1.70 0.041    92.4 from  45 sources of uvex_0366o U
r1084242.fit  4.38  1.45 0.063    97.6 from 278 sources of uvex_0366o g
r1084243.fit  4.28  1.41 0.066   151.5 from 526 sources of uvex_0367 r
r1084244.fit  5.28  1.74 0.052    86.8 from  52 sources of uvex_0367 U
r1084245.fit  4.51  1.49 0.069   102.2 from 289 sources of uvex_0367 g
r1084246.fit  4.76  1.57 0.076   143.9 from 428 sources of uvex_0367o r
r1084247.fit  5.11  1.69 0.041    87.6 from  50 sources of uvex_0367o U
r1084248.fit  4.52  1.49 0.074    97.0 from 251 sources of uvex_0367o g
r1084249.fit  3.73  1.23 0.070   144.6 from 248 sources of uvex_0368 r
r1084250.fit  4.70  1.55 0.037    89.0 from  22 sources of uvex_0368 U
r1084251.fit  4.47  1.48 0.068   101.9 from  92 sources of uvex_0368 g
r1084252.fit  4.24  1.40 0.086   148.6 from 248 sources of uvex_0368o r
r1084253.fit  4.80  1.58 0.027    90.1 from  21 sources of uvex_0368o U
r1084254.fit  3.92  1.29 0.061   104.2 from 113 sources of uvex_0368o g
r1084255.fit  3.87  1.28 0.061   138.4 from 500 sources of uvex_0369 r
r1084256.fit  4.80  1.58 0.029    89.9 from  41 sources of uvex_0369 U
r1084257.fit  4.42  1.46 0.061   105.6 from 220 sources of uvex_0369 g
r1084258.fit  3.81  1.26 0.072   140.5 from 558 sources of uvex_0370 r
r1084259.fit  5.04  1.66 0.034    93.6 from  81 sources of uvex_0370 U
r1084260.fit  4.43  1.46 0.039   102.9 from 307 sources of uvex_0370 g
r1084261.fit  4.78  1.58 0.089   147.5 from 370 sources of uvex_0370o r
r1084262.fit  4.61  1.52 0.040    93.3 from  67 sources of uvex_0370o U
r1084263.fit  4.20  1.39 0.043    99.7 from 280 sources of uvex_0370o g
r1084264.fit  3.74  1.23 0.070   140.2 from 525 sources of uvex_0371 r
r1084265.fit  5.32  1.76 0.072    89.9 from  55 sources of uvex_0371 U
